,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
120,ZZSRHRBE,01/09/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018
121,ZZSRHJJC,01/08/2018,BLACK,M,OTHERS,2018
122,ZZEJJBHH,01/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
123,ZZHLBHWE,01/09/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
124,ZZRRCCLB,01/09/2018,WHITE,F,OTHERS,2018
125,ZZSEHJLJ,01/09/2018,WHITE,M,OTHERS,2018
126,ZZSRHJCE,01/05/2018,WHITE,M,OTHERS,2018
127,ZZHWLBRB,01/09/2018,WHITE,M,OTHERS,2018
128,ZZSRSZSE,01/10/2018,BLACK,M,OTHERS,2018
129,ZZRSBHEL,01/08/2018,HISPANIC,M,OTHERS,2018
130,ZZSEEECL,01/10/2018,BLACK,M,OTHERS,2018
131,ZZHBSCZR,01/10/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
132,ZZHESLBE,01/03/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
133,ZZRJLCEW,01/10/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
134,ZZEJHSJW,01/10/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
135,ZZSRSZSW,01/10/2018,WHITE,M,OTHERS,2018
136,ZZSRSZWE,01/10/2018,BLACK,M,OTHERS,2018
137,ZZSRSZWL,01/10/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
138,ZZSRSZSJ,01/10/2018,WHITE,M,OTHERS,2018
139,ZZSZLSLL,01/10/2018,WHITE,F,OTHERS,2018
140,ZZSZCHLJ,01/10/2018,WHITE,M,OTHERS,2018
141,ZZSRSZSC,01/10/2018,BLACK,M,OTHERS,2018
142,ZZHSLHRH,01/10/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
143,ZZRWZRZE,01/08/2018,WHITE,M,OTHERS,2018
144,ZZEJLWEB,01/10/2018,HISPANIC,M,OTHERS,2018
