,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
10335,ZZRSLJHW,08/23/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10336,ZZHJELSL,08/23/2018,WHITE,M,OTHERS,2018
10337,ZZRSEHRW,08/23/2018,BLACK,M,OTHERS,2018
10338,ZZEBHEWB,08/23/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
10339,ZZERJSHC,08/23/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
10340,ZZSRCRHL,08/23/2018,WHITE,M,OTHERS,2018
10341,ZZZCJJCE,08/23/2018,BLACK,M,OTHERS,2018
10342,ZZEHCWJE,08/23/2018,BLACK,M,OTHERS,2018
10343,ZZRZZRSW,08/23/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
10344,ZZSRCRSH,08/23/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10345,ZZRBZWSZ,08/23/2018,HISPANIC,M,OTHERS,2018
10346,ZZHELJHB,08/23/2018,WHITE,M,OTHERS,2018
10347,ZZSEECES,08/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10348,ZZHHRHBB,08/23/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10349,ZZSRCRSW,08/23/2018,BLACK,M,OTHERS,2018
10350,ZZRBHHJW,08/23/2018,HISPANIC,M,OTHERS,2018
10351,ZZSRCRSZ,08/23/2018,BLACK,M,OTHERS,2018
10352,ZZSRCZJS,08/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10353,ZZHLJWHE,08/23/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10354,ZZEBWSHZ,08/23/2018,HISPANIC,M,OTHERS,2018
10355,ZZHBJEBH,08/23/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
10356,ZZHBEWLL,08/23/2018,BLACK,M,OTHERS,2018
10357,ZZHEWBSZ,08/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10358,ZZSEZCRZ,08/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10359,ZZRCSHCZ,08/23/2018,BLACK,M,OTHERS,2018
10360,ZZSEBZWR,08/23/2018,WHITE,M,OTHERS,2018
10361,ZZHWSHEJ,05/07/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10362,ZZSERHWC,08/23/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10363,ZZSRCRSE,08/23/2018,WHITE,M,OTHERS,2018
10364,ZZSZHEWR,08/23/2018,WHITE,M,OTHERS,2018
10365,ZZHLCZEH,08/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10366,ZZSRCRHB,08/23/2018,WHITE,F,OTHERS,2018
10367,ZZHLLRHH,08/23/2018,BLACK,M,OTHERS,2018
10368,ZZSEREHR,08/23/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10369,ZZRLBLHR,08/23/2018,HISPANIC,F,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018
10370,ZZHJRWCW,08/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10371,ZZSERELC,08/23/2018,BLACK,M,OTHERS,2018
10372,ZZSRCRWZ,08/23/2018,HISPANIC,M,OTHERS,2018
10373,ZZSRCRSB,08/23/2018,HISPANIC,F,OTHERS,2018
10374,ZZELEHRR,08/23/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
10375,ZZSRCRLR,08/24/2018,WHITE,F,OTHERS,2018
10376,ZZSESLEJ,08/24/2018,BLACK,F,OTHERS,2018
10377,ZZHHCCSL,08/24/2018,WHITE,F,OTHERS,2018
10378,ZZSZLZJH,08/24/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10379,ZZHSLHJC,08/24/2018,WHITE,M,OTHERS,2018
10380,ZZHRSZZJ,08/24/2018,WHITE,M,OTHERS,2018
10381,ZZSEHBBC,08/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10382,ZZRWLSSH,08/24/2018,WHITE,M,OTHERS,2018
10383,ZZRLZJEJ,08/24/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
10384,ZZHRSBHS,08/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10385,ZZHWSWCH,08/24/2018,WHITE,M,OTHERS,2018
10386,ZZZLSSJS,08/24/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10387,ZZSRLRRH,08/20/2018,BLACK,M,OTHERS,2018
10388,ZZRZJRJB,08/24/2018,BLACK,M,OTHERS,2018
10389,ZZRCRSEB,08/24/2018,WHITE,F,OTHERS,2018
10390,ZZSRRLSW,08/24/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018
10391,ZZSZHZJW,08/24/2018,BLACK,M,OTHERS,2018
10392,ZZHZESJJ,08/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10393,ZZSRCRLB,08/24/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
10394,ZZECRBCB,08/24/2018,WHITE,M,OTHERS,2018
